epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.497,1.44643,5.92579,1.3619,0.29026,0.06542,0.01723,0.01037,1.37504,5.6046,1.27187,5.57407e-05,5.57407e-05,5.57407e-05
2,1172.43,1.27769,4.04165,1.19531,0.15449,0.23633,0.07451,0.04489,1.34639,5.63446,1.25129,0.000108596,0.000108596,0.000108596
3,1809.16,1.21759,3.31537,1.16267,0.21823,0.27191,0.12817,0.07902,1.30822,3.98746,1.23526,0.000156911,0.000156911,0.000156911
4,2442.6,1.21664,2.90537,1.166,0.16287,0.32516,0.21914,0.13743,1.25717,3.412,1.19834,0.000151566,0.000151566,0.000151566
5,3040.8,1.19211,2.64908,1.13912,0.31833,0.40672,0.32124,0.19726,1.32765,3.03099,1.25694,0.000144755,0.000144755,0.000144755
6,3624.09,1.17889,2.36771,1.14192,0.3129,0.43757,0.33609,0.21594,1.30069,2.98309,1.24546,0.000137944,0.000137944,0.000137944
7,4245.66,1.13076,2.22224,1.12423,0.38228,0.456,0.38588,0.24749,1.26473,2.7874,1.22744,0.000131133,0.000131133,0.000131133
8,4812.93,1.12435,2.08579,1.11744,0.35359,0.475,0.40449,0.24842,1.29288,2.62192,1.2556,0.000124322,0.000124322,0.000124322
9,5381.56,1.12593,1.98166,1.13867,0.39348,0.48946,0.40506,0.25733,1.2592,2.54247,1.23888,0.00011751,0.00011751,0.00011751
10,5968.83,1.09307,1.87575,1.11949,0.35941,0.51841,0.4267,0.26805,1.30221,2.43246,1.2756,0.000110699,0.000110699,0.000110699
11,6615.72,1.09713,1.78976,1.1362,0.39403,0.56053,0.43802,0.27613,1.27606,2.37516,1.23578,0.000103888,0.000103888,0.000103888
12,7239.05,1.06959,1.66838,1.1016,0.38403,0.54884,0.44492,0.28381,1.29293,2.35515,1.28431,9.70768e-05,9.70768e-05,9.70768e-05
13,7892.64,1.06122,1.63028,1.11444,0.41408,0.56409,0.46634,0.29724,1.28189,2.28914,1.26334,9.02656e-05,9.02656e-05,9.02656e-05
14,8549.15,1.05789,1.59833,1.11998,0.39958,0.62468,0.48204,0.30242,1.29297,2.2356,1.251,8.34544e-05,8.34544e-05,8.34544e-05
15,9203.87,1.04324,1.5458,1.09807,0.4355,0.61155,0.46275,0.29558,1.25359,2.25923,1.24377,7.66432e-05,7.66432e-05,7.66432e-05
16,9849.99,1.01531,1.43235,1.12231,0.42625,0.62483,0.49553,0.31307,1.27825,2.20711,1.26168,6.9832e-05,6.9832e-05,6.9832e-05
17,10496,0.98429,1.34987,1.10994,0.43758,0.63505,0.49069,0.31183,1.28726,2.15053,1.26729,6.30208e-05,6.30208e-05,6.30208e-05
18,11155.7,0.98618,1.30294,1.10313,0.43075,0.61404,0.49408,0.3151,1.27251,2.15662,1.26131,5.62096e-05,5.62096e-05,5.62096e-05
19,11831.6,0.9774,1.29417,1.12207,0.43568,0.63019,0.4983,0.313,1.27379,2.16804,1.26196,4.93984e-05,4.93984e-05,4.93984e-05
20,12510,0.95946,1.22981,1.09756,0.41404,0.66011,0.50243,0.31856,1.27684,2.1998,1.26334,4.25872e-05,4.25872e-05,4.25872e-05
21,13187.7,0.94494,1.17821,1.08559,0.40407,0.68049,0.49613,0.31668,1.2779,2.17074,1.26678,3.5776e-05,3.5776e-05,3.5776e-05
22,13863.8,0.93159,1.16585,1.09279,0.39529,0.673,0.49579,0.31653,1.28101,2.15413,1.26578,2.89648e-05,2.89648e-05,2.89648e-05
23,14542,0.93287,1.13265,1.07689,0.40577,0.66754,0.50514,0.32264,1.27402,2.15142,1.26443,2.21536e-05,2.21536e-05,2.21536e-05
24,15225.9,0.9286,1.11097,1.07971,0.4019,0.67527,0.50454,0.3216,1.2706,2.14992,1.26389,1.53424e-05,1.53424e-05,1.53424e-05
25,15910.1,0.92248,1.09855,1.08379,0.41177,0.64015,0.50549,0.32049,1.27569,2.15638,1.26732,8.5312e-06,8.5312e-06,8.5312e-06
