epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9873,2.83073,6.76718,1.78374,0.00055,0.08854,0.00085,0.00022,2.08004,6.40074,1.34547,5.60593e-05,5.60593e-05,5.60593e-05
2,134.234,1.84477,5.00953,1.26343,0.68903,0.09965,0.08727,0.05711,1.36871,4.99175,1.02482,0.000108902,0.000108902,0.000108902
3,281.432,1.5186,3.86549,1.11845,0.61521,0.22301,0.25225,0.16651,1.36759,4.17899,0.99954,0.000157204,0.000157204,0.000157204
4,355.112,1.40395,3.01382,1.06429,0.57714,0.2932,0.31753,0.20444,1.40571,3.55222,1.03783,0.000151566,0.000151566,0.000151566
5,424.284,1.33509,2.62054,1.04479,0.57606,0.43229,0.44154,0.29306,1.25076,3.12014,0.96767,0.000144755,0.000144755,0.000144755
6,496.137,1.28876,2.35946,1.02265,0.45077,0.51086,0.51966,0.33407,1.51176,2.94225,1.05765,0.000137944,0.000137944,0.000137944
7,574.726,1.22714,2.11471,1.02244,0.44254,0.61878,0.66042,0.49534,1.17341,2.55584,0.95452,0.000131133,0.000131133,0.000131133
8,661.335,1.17172,1.8871,0.99271,0.4939,0.65782,0.7075,0.49394,1.30388,2.50937,1.00389,0.000124322,0.000124322,0.000124322
9,738.742,1.17436,1.78333,1.00204,0.49695,0.66704,0.72171,0.51833,1.20749,2.48961,0.9662,0.00011751,0.00011751,0.00011751
10,815.549,1.16798,1.69722,1.002,0.55034,0.73923,0.75468,0.49191,1.40809,2.32407,1.02832,0.000110699,0.000110699,0.000110699
11,891.656,1.12323,1.5175,0.97533,0.70763,0.72044,0.789,0.56609,1.18682,2.17424,0.95926,0.000103888,0.000103888,0.000103888
12,998.842,1.09403,1.44454,0.97395,0.58811,0.72914,0.79441,0.57217,1.15582,2.08849,0.94482,9.70768e-05,9.70768e-05,9.70768e-05
13,1069.18,1.07789,1.42925,0.97085,0.72659,0.71893,0.83887,0.59803,1.192,1.9266,0.96164,9.02656e-05,9.02656e-05,9.02656e-05
14,2206.7,1.06431,1.37785,0.96556,0.64419,0.85395,0.87682,0.61696,1.21277,1.79583,0.97341,8.34544e-05,8.34544e-05,8.34544e-05
15,2271.67,1.05958,1.26421,0.96721,0.67134,0.81996,0.86928,0.60222,1.23857,1.85822,0.98046,7.66432e-05,7.66432e-05,7.66432e-05
16,2810.61,1.02171,1.08197,0.98522,0.68683,0.84914,0.87372,0.65054,1.1063,1.7168,0.93412,6.9832e-05,6.9832e-05,6.9832e-05
17,2873.5,1.00979,0.9881,0.97646,0.75007,0.79771,0.90556,0.67536,1.14778,1.61318,0.95215,6.30208e-05,6.30208e-05,6.30208e-05
18,2944.69,0.96812,0.95591,0.96808,0.67586,0.81513,0.89461,0.66063,1.13629,1.57418,0.94831,5.62096e-05,5.62096e-05,5.62096e-05
19,3014.02,0.94917,0.882,0.9671,0.70774,0.78646,0.89403,0.65267,1.1728,1.56508,0.96573,4.93984e-05,4.93984e-05,4.93984e-05
20,3084.42,0.92459,0.85099,0.95371,0.77286,0.78142,0.91149,0.69459,1.08246,1.51722,0.9344,4.25872e-05,4.25872e-05,4.25872e-05
21,3155.2,0.91803,0.81508,0.94539,0.81152,0.78191,0.9044,0.66753,1.10457,1.46423,0.93955,3.5776e-05,3.5776e-05,3.5776e-05
22,3225,0.90784,0.78354,0.94565,0.79097,0.80607,0.88991,0.65386,1.11222,1.42728,0.94325,2.89648e-05,2.89648e-05,2.89648e-05
23,3303.05,0.91468,0.77476,0.9469,0.80881,0.78964,0.92012,0.69271,1.08761,1.4654,0.92794,2.21536e-05,2.21536e-05,2.21536e-05
24,3380.78,0.89936,0.74538,0.94616,0.82685,0.79849,0.92359,0.68749,1.11029,1.43386,0.93739,1.53424e-05,1.53424e-05,1.53424e-05
25,3462.2,0.89785,0.73439,0.93903,0.83408,0.79585,0.92515,0.70058,1.0889,1.38622,0.93081,8.5312e-06,8.5312e-06,8.5312e-06
