epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.64071,1.42336,4.99907,1.55666,0.03805,0.75,0.17635,0.15736,0.42972,4.25695,0.95074,3.44e-06,3.44e-06,3.44e-06
2,9.16279,1.23592,5.00363,1.43002,0.03587,0.875,0.18696,0.17349,0.39165,4.45059,0.94066,8.25944e-06,8.25944e-06,8.25944e-06
3,12.7556,1.20136,4.86644,1.39482,0.82539,0.25,0.2333,0.22233,0.34604,4.82035,0.93172,1.26702e-05,1.26702e-05,1.26702e-05
4,16.4154,1.10166,4.62549,1.34176,0.82608,0.25,0.22856,0.22053,0.34125,5.0406,0.94758,1.66723e-05,1.66723e-05,1.66723e-05
5,20.2055,0.89308,4.65474,1.19457,0.82797,0.25,0.23528,0.22761,0.30621,4.94019,0.9405,2.02657e-05,2.02657e-05,2.02657e-05
6,23.769,0.87356,4.49816,1.22458,0.82443,0.25,0.25597,0.24889,0.30023,4.75535,0.93913,2.34505e-05,2.34505e-05,2.34505e-05
7,27.4739,0.70973,4.54765,1.15273,0.82493,0.25,0.30569,0.29981,0.3501,4.40331,0.94904,2.62266e-05,2.62266e-05,2.62266e-05
8,31.1566,0.64826,4.46118,1.13541,0.82669,0.25,0.28309,0.26381,0.39,4.19283,0.9658,2.8594e-05,2.8594e-05,2.8594e-05
9,34.8452,0.59502,4.42638,1.11067,0.81331,0.25,0.27768,0.25322,0.45566,3.92183,0.99212,3.05527e-05,3.05527e-05,3.05527e-05
10,38.437,0.53482,4.24687,1.06136,0.81995,0.25,0.27481,0.26256,0.48229,3.85201,0.99664,3.21028e-05,3.21028e-05,3.21028e-05
11,42.0251,0.52395,4.17507,1.04679,0.86052,0.25,0.25615,0.24298,0.54362,3.81108,1.01359,3.32442e-05,3.32442e-05,3.32442e-05
12,45.5443,0.49,4.048,1.02945,0.86401,0.25,0.26859,0.24173,0.54881,3.7949,1.01415,3.39769e-05,3.39769e-05,3.39769e-05
13,49.1799,0.444,4.06489,1.01315,0.86821,0.25,0.30265,0.27102,0.5252,3.75518,1.00307,3.43009e-05,3.43009e-05,3.43009e-05
14,52.8975,0.47481,4.02641,1.03074,0.86438,0.25,0.32959,0.29466,0.51055,3.76489,0.99512,3.42163e-05,3.42163e-05,3.42163e-05
15,56.7375,0.51093,3.99314,1.00684,0.83862,0.25,0.33492,0.30392,0.47118,3.79059,0.97819,3.3723e-05,3.3723e-05,3.3723e-05
16,60.4892,0.47959,3.7877,0.97501,0.09133,1,0.32041,0.29141,0.42226,3.85138,0.956,3.2821e-05,3.2821e-05,3.2821e-05
17,64.082,0.56279,3.58055,0.94703,0.0991,1,0.31508,0.29495,0.3244,3.94102,0.92469,3.15104e-05,3.15104e-05,3.15104e-05
18,67.7494,0.47722,3.5698,0.93989,0.0748,1,0.30576,0.28646,0.27963,3.9521,0.91462,2.97911e-05,2.97911e-05,2.97911e-05
19,71.4593,0.38318,3.33888,0.9682,0.07426,1,0.2446,0.22222,0.24933,3.95303,0.90921,2.76631e-05,2.76631e-05,2.76631e-05
20,75.3727,0.30353,3.05501,0.8853,0.07455,1,0.29435,0.27531,0.2269,3.94504,0.90699,2.51264e-05,2.51264e-05,2.51264e-05
21,79.1957,0.32426,3.26788,0.9044,0.07287,1,0.28725,0.27149,0.21202,3.91356,0.90539,2.21811e-05,2.21811e-05,2.21811e-05
22,83.0768,0.38701,3.46043,0.93527,0.06806,1,0.27431,0.26187,0.20654,3.86294,0.90425,1.88271e-05,1.88271e-05,1.88271e-05
23,86.8671,0.29565,3.2026,0.9271,0.06888,1,0.2874,0.27496,0.2053,3.86908,0.90554,1.50644e-05,1.50644e-05,1.50644e-05
24,90.7222,0.30205,3.41907,0.94262,0.06716,1,0.29983,0.2874,0.20353,3.83259,0.90439,1.08931e-05,1.08931e-05,1.08931e-05
25,94.3897,0.28761,3.19034,0.91647,0.0674,1,0.30798,0.29709,0.20699,3.81114,0.90737,6.31309e-06,6.31309e-06,6.31309e-06
